2025-04-30 15:23:15,775 - WebSocket closed: None, None
2025-04-30 15:23:20,782 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:23:20,783 - WebSocket closed: None, None
2025-04-30 15:23:25,789 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:23:25,789 - WebSocket closed: None, None
2025-04-30 15:23:30,796 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:23:30,796 - WebSocket closed: None, None
2025-04-30 15:23:35,801 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:23:35,802 - WebSocket closed: None, None
2025-04-30 15:23:40,806 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:23:40,806 - WebSocket closed: None, None
2025-04-30 15:23:45,808 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:23:45,811 - WebSocket closed: None, None
2025-04-30 15:23:50,815 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:23:50,816 - WebSocket closed: None, None
2025-04-30 15:23:55,822 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:23:55,822 - WebSocket closed: None, None
2025-04-30 15:24:00,824 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:24:00,824 - WebSocket closed: None, None
2025-04-30 15:24:05,827 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:24:05,827 - WebSocket closed: None, None
2025-04-30 15:24:10,834 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:24:10,834 - WebSocket closed: None, None
2025-04-30 15:24:15,840 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:24:15,840 - WebSocket closed: None, None
2025-04-30 15:24:20,847 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:24:20,847 - WebSocket closed: None, None
2025-04-30 15:24:25,855 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:24:25,856 - WebSocket closed: None, None
2025-04-30 15:24:30,864 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:24:30,865 - WebSocket closed: None, None
2025-04-30 15:24:35,868 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:24:35,868 - WebSocket closed: None, None
2025-04-30 15:24:40,872 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:24:40,872 - WebSocket closed: None, None
2025-04-30 15:24:45,876 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:24:45,877 - WebSocket closed: None, None
2025-04-30 15:24:50,881 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:24:50,881 - WebSocket closed: None, None
2025-04-30 15:24:55,887 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:24:55,888 - WebSocket closed: None, None
2025-04-30 15:25:00,894 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:25:00,895 - WebSocket closed: None, None
2025-04-30 15:25:05,899 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:25:05,899 - WebSocket closed: None, None
2025-04-30 15:25:10,902 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:25:10,902 - WebSocket closed: None, None
2025-04-30 15:25:15,905 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:25:15,905 - WebSocket closed: None, None
2025-04-30 15:25:20,910 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:25:20,910 - WebSocket closed: None, None
2025-04-30 15:25:25,917 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:25:25,917 - WebSocket closed: None, None
2025-04-30 15:25:30,921 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:25:30,921 - WebSocket closed: None, None
2025-04-30 15:25:35,926 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:25:35,927 - WebSocket closed: None, None
2025-04-30 15:25:40,932 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:25:40,933 - WebSocket closed: None, None
